College Code,College Name,Choice Code,Course Name,District,College Type,GOPEN-I-r,GOPEN-I-p,GOPEN-II-r,GOPEN-II-p,GOPEN-MI-r,GOPEN-MI-p,GOPEN-I-Non-PWD-DEF-r,GOPEN-I-Non-PWD-DEF-p,GOPEN-VII-r,GOPEN-VII-p,GSC-I-r,GSC-I-p,GSC-II-r,GSC-II-p,GSC-MI-r,GSC-MI-p,GSC-I-Non-PWD-DEF-r,GSC-I-Non-PWD-DEF-p,GSC-VII-r,GSC-VII-p,GST-I-r,GST-I-p,GST-II-r,GST-II-p,GST-MI-r,GST-MI-p,GST-I-Non-PWD-DEF-r,GST-I-Non-PWD-DEF-p,GST-VII-r,GST-VII-p,GNTA-I-r,GNTA-I-p,GNTA-II-r,GNTA-II-p,GNTA-MI-r,GNTA-MI-p,GNTA-I-Non-PWD-DEF-r,GNTA-I-Non-PWD-DEF-p,GNTA-VII-r,GNTA-VII-p,GNTB-I-r,GNTB-I-p,GNTB-II-r,GNTB-II-p,GNTB-MI-r,GNTB-MI-p,GNTB-I-Non-PWD-DEF-r,GNTB-I-Non-PWD-DEF-p,GNTB-VII-r,GNTB-VII-p,GNTC-I-r,GNTC-I-p,GNTC-II-r,GNTC-II-p,GNTC-MI-r,GNTC-MI-p,GNTC-I-Non-PWD-DEF-r,GNTC-I-Non-PWD-DEF-p,GNTC-VII-r,GNTC-VII-p,GNTD-I-r,GNTD-I-p,GNTD-II-r,GNTD-II-p,GNTD-MI-r,GNTD-MI-p,GNTD-I-Non-PWD-DEF-r,GNTD-I-Non-PWD-DEF-p,GNTD-VII-r,GNTD-VII-p,GOBC-I-r,GOBC-I-p,GOBC-II-r,GOBC-II-p,GOBC-MI-r,GOBC-MI-p,GOBC-I-Non-PWD-DEF-r,GOBC-I-Non-PWD-DEF-p,GOBC-VII-r,GOBC-VII-p,LOPEN-I-r,LOPEN-I-p,LOPEN-II-r,LOPEN-II-p,LOPEN-MI-r,LOPEN-MI-p,LOPEN-I-Non-PWD-DEF-r,LOPEN-I-Non-PWD-DEF-p,LOPEN-VII-r,LOPEN-VII-p,LSC-I-r,LSC-I-p,LSC-II-r,LSC-II-p,LSC-MI-r,LSC-MI-p,LSC-I-Non-PWD-DEF-r,LSC-I-Non-PWD-DEF-p,LSC-VII-r,LSC-VII-p,LST-I-r,LST-I-p,LST-II-r,LST-II-p,LST-MI-r,LST-MI-p,LST-I-Non-PWD-DEF-r,LST-I-Non-PWD-DEF-p,LST-VII-r,LST-VII-p,LNTA-I-r,LNTA-I-p,LNTA-II-r,LNTA-II-p,LNTA-MI-r,LNTA-MI-p,LNTA-I-Non-PWD-DEF-r,LNTA-I-Non-PWD-DEF-p,LNTA-VII-r,LNTA-VII-p,LNTB-I-r,LNTB-I-p,LNTB-II-r,LNTB-II-p,LNTB-MI-r,LNTB-MI-p,LNTB-I-Non-PWD-DEF-r,LNTB-I-Non-PWD-DEF-p,LNTB-VII-r,LNTB-VII-p,LNTC-I-r,LNTC-I-p,LNTC-II-r,LNTC-II-p,LNTC-MI-r,LNTC-MI-p,LNTC-I-Non-PWD-DEF-r,LNTC-I-Non-PWD-DEF-p,LNTC-VII-r,LNTC-VII-p,LNTD-I-r,LNTD-I-p,LNTD-II-r,LNTD-II-p,LNTD-MI-r,LNTD-MI-p,LNTD-I-Non-PWD-DEF-r,LNTD-I-Non-PWD-DEF-p,LNTD-VII-r,LNTD-VII-p,LOBC-I-r,LOBC-I-p,LOBC-II-r,LOBC-II-p,LOBC-MI-r,LOBC-MI-p,LOBC-I-Non-PWD-DEF-r,LOBC-I-Non-PWD-DEF-p,LOBC-VII-r,LOBC-VII-p,DEF-O-I-r,DEF-O-I-p,DEF-O-II-r,DEF-O-II-p,DEF-O-MI-r,DEF-O-MI-p,DEF-O-I-Non-PWD-DEF-r,DEF-O-I-Non-PWD-DEF-p,DEF-O-VII-r,DEF-O-VII-p,EWS-I-r,EWS-I-p,EWS-II-r,EWS-II-p,EWS-MI-r,EWS-MI-p,EWS-I-Non-PWD-DEF-r,EWS-I-Non-PWD-DEF-p,EWS-VII-r,EWS-VII-p,PWD-O-I-r,PWD-O-I-p,PWD-O-II-r,PWD-O-II-p,PWD-O-MI-r,PWD-O-MI-p,PWD-O-I-Non-PWD-DEF-r,PWD-O-I-Non-PWD-DEF-p,PWD-O-VII-r,PWD-O-VII-p,MI-I-r,MI-I-p,MI-II-r,MI-II-p,MI-MI-r,MI-MI-p,MI-I-Non-PWD-DEF-r,MI-I-Non-PWD-DEF-p,MI-VII-r,MI-VII-p,PWDR-SC-I-r,PWDR-SC-I-p,PWDR-SC-II-r,PWDR-SC-II-p,PWDR-SC-MI-r,PWDR-SC-MI-p,PWDR-SC-I-Non-PWD-DEF-r,PWDR-SC-I-Non-PWD-DEF-p,PWDR-SC-VII-r,PWDR-SC-VII-p,PWDR-OBC-I-r,PWDR-OBC-I-p,PWDR-OBC-II-r,PWDR-OBC-II-p,PWDR-OBC-MI-r,PWDR-OBC-MI-p,PWDR-OBC-I-Non-PWD-DEF-r,PWDR-OBC-I-Non-PWD-DEF-p,PWDR-OBC-VII-r,PWDR-OBC-VII-p,DEFR-OBC-I-r,DEFR-OBC-I-p,DEFR-OBC-II-r,DEFR-OBC-II-p,DEFR-OBC-MI-r,DEFR-OBC-MI-p,DEFR-OBC-I-Non-PWD-DEF-r,DEFR-OBC-I-Non-PWD-DEF-p,DEFR-OBC-VII-r,DEFR-OBC-VII-p,MI-MH-I-r,MI-MH-I-p,MI-MH-II-r,MI-MH-II-p,MI-MH-MI-r,MI-MH-MI-p,MI-MH-I-Non-PWD-DEF-r,MI-MH-I-Non-PWD-DEF-p,MI-MH-VII-r,MI-MH-VII-p,ORP-I-r,ORP-I-p,ORP-II-r,ORP-II-p,ORP-MI-r,ORP-MI-p,ORP-I-Non-PWD-DEF-r,ORP-I-Non-PWD-DEF-p,ORP-VII-r,ORP-VII-p,PWD-OBC-I-r,PWD-OBC-I-p,PWD-OBC-II-r,PWD-OBC-II-p,PWD-OBC-MI-r,PWD-OBC-MI-p,PWD-OBC-I-Non-PWD-DEF-r,PWD-OBC-I-Non-PWD-DEF-p,PWD-OBC-VII-r,PWD-OBC-VII-p,DEF-OBC-I-r,DEF-OBC-I-p,DEF-OBC-II-r,DEF-OBC-II-p,DEF-OBC-MI-r,DEF-OBC-MI-p,DEF-OBC-I-Non-PWD-DEF-r,DEF-OBC-I-Non-PWD-DEF-p,DEF-OBC-VII-r,DEF-OBC-VII-p
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100219110,Civil Engineering,Amravati,Government -Autonomous,393,93.32,,,,,,,,,1565,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097,88.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,93.11,,,,,,,,,722,92,,,,,,,,,,,,,,,,,,,7383,83.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,91.26,,,,,,,,,,,,,,,,,,,1984,89.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224210,Computer Science and Engineering,Amravati,Government -Autonomous,392,93.32,,,,,,,,,1209,90.68,,,,,,,,,2149,88.86,,,,,,,,,,,,,,,,,,,3037,87.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,92.8,,,,,,,,,95,95.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,95,,,,,,,,,,,,,,,,,,,733,91.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100224610,Information Technology,Amravati,Government -Autonomous,962,91.26,,,,,,,,,1367,90.37,,,,,,,,,,,,,,,,,,,4993,85.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,91.18,,,,,,,,,749,91.89,,,,,,,,,4249,86.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,91.63,,,,,,,,,,,,,,,,,,,1239,90.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100229310,Electrical Engineering,Amravati,Government -Autonomous,917,91.39,,,,,,,,,2860,87.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,91.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6580,83.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,90.22,,,,,,,,,,,,,,,,,,,2758,87.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100237210,Electronics and Telecommunication Engg,Amravati,Government -Autonomous,3544,86.84,,,,,,,,,7452,83.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13767,78.82,,,,,,,,,,,,,,,,,,,4263,86,,,,,,,,,3087,87.47,,,,,,,,,,,,,,,,,,,29608,71.12,,,,,,,,,18989,76.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,86.89,,,,,,,,,,,,,,,,,,,3717,86.65,,,,,,,,,29743,71.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100246610,Instrumentation Engineering,Amravati,Government -Autonomous,4975,85.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6883,83.54,,,,,,,,,11924,79.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9332,81.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,"1002 Government College of Engineering, Amravati (Government Autonomous)",100261210,Mechanical Engineering,Amravati,Government -Autonomous,2204,88.77,,,,,,,,,3050,87.53,,,,,,,,,8033,82.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503,88.32,,,,,,,,,4364,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22975,74.26,,,,,,,,,,,,,,,,,12477,79.59,,,,,,,,,,,,,,,,,,,5243,85.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100550310,Food Technology,Amravati,University Department,25622,73.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34268,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100551710,Oil and Paints Technology,Amravati,University Department,22746,74.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32486,69.65,,,,,,,,,38370,65.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35929,67.48,,,,,,,,,,,,,,,,,18741,76.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552410,Paper and Pulp Technology,Amravati,University Department,39869,63.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",100552710,Petro Chemical Engineering,Amravati,University Department,17171,76.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32318,69.74,,,,,,,,,,,41608,60.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41649,60.32,,,,,,,,,,,,,,,,,39528,64.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"1012 Government College of Engineering,Yavatmal (Government)",101219110,Civil Engineering,Yavatmal,Government,3772,86.58,,,,,,,,,4806,85.47,,,,,,,,,11251,80.37,,,,,,,,,5045,85.21,,,,,,,,,,,,,,,,,,,16844,77.11,,,,,,,,,,,,,,,,,,,4253,86.05,,,,,,,,,2638,88.11,,,,,,,,,5960,84.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38152,65.63,,,,,,,,,4046,86.26,,,,,,,,,27767,72,,,,,,,,,3181,87.32,,,,,,,,,35730,67.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"1012 Government College of Engineering,Yavatmal (Government)",101224510,Computer Engineering,Yavatmal,Government,3242,87.24,,,,,,,,,,,,,,,,,,,35750,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5541,84.74,,,,,,,,,,,,,,,,,,,3725,86.63,,,,,,,,,2321,88.59,,,,,,,,,8824,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830,85.43,,,,,,,,,,,,,,,,,,,5309,84.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"1012 Government College of Engineering,Yavatmal (Government)",101229310,Electrical Engineering,Yavatmal,Government,4404,85.89,,,,,,,,,9860,81.28,,,,,,,,,20535,75.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316,84.94,,,,,,,,,,,,,,,,,,,5878,84.44,,,,,,,,,3254,87.22,,,,,,,,,4971,85.28,,,,,,,,,,,,,,,,,,,14908,78.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,85.7,,,,,,,,,,,,,,,,,,,3799,86.56,,,,,,,,,7000,83.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"1012 Government College of Engineering,Yavatmal (Government)",101237210,Electronics and Telecommunication Engg,Yavatmal,Government,6302,84.06,,,,,,,,,8240,82.47,,,,,,,,,15851,77.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22749,74.35,,,,,,,,,,,,,,,,,,,6332,84.05,,,,,,,,,5429,84.84,,,,,,,,,15842,77.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5656,84.63,,,,,,,,,,,,,,,,,,,9363,81.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,"1012 Government College of Engineering,Yavatmal (Government)",101261210,Mechanical Engineering,Yavatmal,Government,8271,82.46,,,,,,,,,10549,80.82,,,,,,,,,34983,68.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26299,72.72,,,,,,,,,,,,,,,,,,,11365,80.3,,,,,,,,,18431,76.32,,,,,,,,,,,12647,79.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21310,75.03,,,,,,,,,,,,,,,,,,,,,,,,,,,35552,67.74,,,,,,,,,,,,,,,,,,,9546,81.49,,,,,,,,,25881,72.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",110124210,Computer Science and Engineering,Buldhana,Un-Aided,2477,88.34,,,,,,,,,5049,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3151,87.37,,,,,,,,,2563,88.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5755,84.53,,,,,,,2599,88.16,,,,,,,,,,,,,,,,,,,4105,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
